Permit #,Workclass,Issue Date,Address,Description,Contractor
TC-RES-0323-03421,Solar,04/12/2023,,"• SYSTEM SIZE: 2720W DC, 1920W AC     5457.00","Sunrun Installation Services, Inc"
TC-RES-0323-03425,Solar,04/10/2023,,"38 MODULES-ROOF MOUNTED - 14.44 kW DC, 11.02 kW AC--      67254.00",
TC-RES-0323-03426,Solar,04/10/2023,,Installation of new 18kW rooftop photovoltaic solar system producing in parallel with the grid. Derate of main breaker,Allison Tibbetts
TC-RES-0323-03427,Solar,04/10/2023,,"22 MODULES-ROOF MOUNTED - 8.36 kW DC, 6.38 kW AC     42424.00",
TC-RES-0323-03451,Solar,04/10/2023,,Installation of a 3.12 kW PV SYSTEM / Enphase Battery 10.2 KW     17800.00,
TC-RES-0323-03453,Solar,04/13/2023,,"• SYSTEM SIZE: 6290W DC, 4930W AC    11666.00","Sunrun Installation Services, Inc"
TC-RES-0323-03456,Solar,04/13/2023,,"• SYSTEM SIZE: 3330W DC, 2610W AC     6959.00","Sunrun Installation Services, Inc"
TC-RES-0323-03458,Solar,04/10/2023,,Installation of a roof mounted 9.600kW PV System and a main panel upgrade to 225A      55200.00,
TC-RES-0323-03462,Solar,04/12/2023,,Install 5.92kW (4.80kW AC) roof-mounted PV system,
TC-RES-0323-03469,Solar,04/10/2023,,"roof mount 3.0 kW DC addition to existing photovoltaic solar system (new total system size: 8.23 kW), 7 additional",
TC-RES-0323-03475,Solar,04/10/2023,,"roof mount 3.70 kW DC photovoltaic solar system, 10 AC modules, 1 branch, 20A PV breaker on 225A bus with 200A",
TC-RES-0323-03493,Solar,04/12/2023,,"roof mount 7.65 kW DC photovoltaic solar system, 18 AC modules, 2 branches, PV subpanel, 60A Aux AC Disconnect,",
TC-RES-0323-03494,Solar,04/12/2023,,"roof mount 7.23 kW DC photovoltaic solar system; 17 AC modules, 2 branches, PV subpanel, 40A PV breaker on 200A",
TC-RES-0323-03496,Solar,04/12/2023,,"roof mount 10.63 kW DC photovoltaic solar system; 25 AC modules, 2 branches in PV subpanel A on South Dwelling",
TC-RES-0323-03498,Solar,04/13/2023,,"• SYSTEM SIZE: 2960W DC, 2320W AC    6721.00","Sunrun Installation Services, Inc"
TC-RES-0323-03500,Solar,04/10/2023,,Install Solar Panels on roof    16920.00,
TC-RES-0323-03507,Solar,04/12/2023,"10538 E SEVEN GENERATIONS 
WY, TUCSON, AZ 85747",Installation of a roof mounted 5.600kW PV System    19999.00,
TC-RES-0323-03516,Solar,04/13/2023,,Installation of a 4.05 kW PV SYSTEM / MPU - 200 AMP,
TC-RES-0323-03517,Solar,04/13/2023,,"• SYSTEM SIZE: 9990W DC, 7830W AC","Sunrun Installation Services, Inc"
TC-RES-0323-03530,Solar,04/13/2023,,"• SYSTEM SIZE: 4070W DC, 3190W AC","Sunrun Installation Services, Inc"
TC-RES-0323-03531,Solar,04/13/2023,,"• SYSTEM SIZE: 5180W DC, 4060W AC","Sunrun Installation Services, Inc"
TC-RES-0323-03532,Solar,04/12/2023,,"• SYSTEM SIZE: 4440W DC, 3480W AC","Sunrun Installation Services, Inc"
TC-RES-0323-03534,Solar,04/13/2023,,8.61kW roof mounted PV system,
TC-RES-0323-03545,Solar,04/14/2023,,"roof mount 4.68 kW DC photovoltaic solar system; 11 AC modules, 2 branches, PV subpanel, 30A PV breaker on 200A",
TC-RES-0323-03548,Solar,04/14/2023,"2140 E 8TH ST, TUCSON, AZ 85719","roof mount 8.08 kW DC photovoltaic solar system; 19 AC modules, 2 branches, PV subpanel, 40A PV breaker on 200A",
TC-RES-0323-03557,Solar,04/12/2023,,Installation of a 4.50 kW PV SYSTEM /  DERATED FROM 125A TO 100A    5450.00,
TC-RES-0323-03566,Solar,04/14/2023,,"• SYSTEM SIZE: 7400W DC, 6000W AC    13524.00","Sunrun Installation Services, Inc"
TC-RES-0323-03588,Solar,04/14/2023,,Roof Mounted PV System with PV meter and AC Disco     31750.00,
TC-RES-0323-03594,Solar,04/14/2023,,7.2KW DC/ 5.8KW AC,
TC-RES-0323-03596,Solar,04/14/2023,,13.2KW AC/ 10.72KW AC,
TC-RES-0323-03955,Solar,04/12/2023,,Photovoltaic Roof Mount System,
TC-RES-0423-04050,Solar,04/12/2023,,"• SYSTEM SIZE: 5920W DC, 4640W AC","Sunrun Installation Services, Inc"
TC-RES-0124-00151,Solar,04/16/2024,"2015 E 6TH ST, TUCSON, AZ 85719","Roof mount 7.04 kW DC photovoltaic solar system; 16 AC modules, 2 branches, PV subpanel, 40A PV breaker on",Technicians for Sustainability
TC-RES-0124-00404,Solar,04/16/2024,,Roof-mounted solar PV installation,Andres Bautista-Aranda
TC-RES-0124-00466,Solar,04/16/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0224-01116,Solar,04/17/2024,,"Roof mount 7.04 kW DC photovoltaic solar system; 16 AC modules, 3 branches, PV subpanel, 40A PV breaker on",Technicians for Sustainability
TC-RES-0224-01204,Solar,04/19/2024,,Roof mounted PV System DC SYSTEM SIZE (kW): 18.8 kW AC SYSTEM SIZE (kW): 13.63 kW,Bailey Randall
TC-RES-0324-01278,Solar,04/16/2024,,"Roof-mounted PV solar installation, 24 modules, 8.88kW DC, 6kW AC. Includes main panel upgrade; upgrade is",Saguaro Solar Electric
TC-RES-0324-01316,Solar,04/16/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01435,Solar,04/17/2024,,Roof Mounted PV System DC SYSTEM SIZE (kW): 6 kW AC SYSTEM SIZE (kW): 4.35 kW W/  SERVICE COLLAR,Bailey Randall
TC-RES-0324-01436,Solar,04/19/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01482,Solar,04/17/2024,,"Installation of 2nd roof mounted solar system, 27 kWh energy storage system and related materials.",Tesla Energy
TC-RES-0324-01538,Solar,04/15/2024,,"Roof mount 9.03 kW DC photovoltaic solar system; 21 AC modules, 3 branches, PV Combiner Box, 50A PV breaker",Technicians for Sustainability
TC-RES-0324-01543,Solar,04/15/2024,,7.38 KW Photovoltaic Rooftop Solar + 200A Solar Ready Panel Upgrade,Monique Poloni
TC-RES-0324-01567,Solar,04/15/2024,,Roof Mounted PV system DC SYSTEM SIZE (kW): 7.6 kW AC SYSTEM SIZE (kW): 5.51 kW,Bailey Randall
TC-RES-0324-01571,Solar,04/15/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01573,Solar,04/15/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01574,Solar,04/16/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01580,Solar,04/16/2024,,Solar PV Roof Install 9.2KW DC/ 7.60KW AC,Zoe Clemons
TC-RES-0324-01621,Solar,04/19/2024,,"roof mount 6.97kW DC photovoltaic solar system; 17 modules and microinverters, 2 branches, PV combiner box,",Technicians for Sustainability
TC-RES-0324-01686,Solar,04/19/2024,"5959 S PLACITA PICACHO EL 
DIABLO, TUCSON, AZ 85706",ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0324-01797,Solar,04/16/2024,,"Duplex with two addresses same dwelling, not detached.",Solgen Power LLC
TC-RES-0324-01871,Solar,04/16/2024,,Roof-mounted solar PV installation.,Andres Bautista-Aranda
TC-RES-0424-01965,Solar,04/17/2024,,Installation of two solaredge energy bank 10kw batteries,Titan Solar Power Inc
TC-RES-0424-01979,Solar,04/17/2024,,Roof-mounted solar PV installation.,Andres Bautista-Aranda
TC-RES-0424-01982,Solar,04/17/2024,,PV SOLAR / METER COLLAR ADAPTOR,VECTOR ENERGY LLC DBA FUSION POWER CO
TC-RES-0424-02122,Solar,04/17/2024,,5.40 kW rooftop solar installation on duplex with two separate addresses,Solgen Power LLC
TC-RES-1123-09521,Solar,04/16/2024,,"Roof-mounted PV solar installation, 21 modules, 8.4kW DC, 6.09kW AC, with main panel upgrade, battery, electric",Saguaro Solar Electric
TC-RES-1223-10065,Solar,04/15/2024,,ROOF MOUNTED PV SYSTEM,Freedom Forever
TC-RES-0323-03547,Solar,04/19/2023,"4135 E 6TH ST, TUCSON, AZ 85711",Solar install of 8 kW DC system to rooftop    29427.00,
TC-RES-0323-03592,Solar,04/17/2023,,Installation of roof mounted 7.6kw solar pv system     42494.12,
TC-RES-0323-03597,Solar,04/17/2023,,"• SYSTEM SIZE: 4810W DC, 3770W AC","Sunrun Installation Services, Inc"
TC-RES-0323-03598,Solar,04/17/2023,,"• SYSTEM SIZE: 7695W DC, 5510W AC","Sunrun Installation Services, Inc"
TC-RES-0323-03612,Solar,04/17/2023,,Installation of a roof mounted 9.200kW PV System      48153.00,
TC-RES-0323-03614,Solar,04/17/2023,,Installation of a roof mounted 4.400kW PV System    20680.00,
TC-RES-0323-03618,Solar,04/18/2023,,Install Solar Panels on Roof,
