,CaseType,CaseWorkclass,CaseStatus,IssueDate,ApplyDate,ExpireDate,FinalDate,AddressLine1,AddressLine2,AddressLine3,PostalCode,Description,Year
16179,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-02-24T13:09:39Z,2022-12-06 18:34:03.287000+00:00,2023-09-27T16:09:05Z,2023-04-01T04:00:00Z,3475,Ridgeline,,48105,Bora 9.2kW Residential Roof Solar System,2022.0
16183,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2022-12-06 23:01:35.133000+00:00,,,1121,Kay,,48103,"24 panel solar array roof mounted on residence, grid tied **CANCELLED BY CONTRACTOR ON 2/6/23**",2022.0
16190,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-14T22:54:30Z,2022-12-07 17:19:27.330000+00:00,2023-09-25T14:00:46Z,2023-03-28T04:00:00Z,2224,Prairie,,48105,"Installation of a roof-mounted solar array consisting of (21) solar panels with micro-inverters, a service upgrade form 100A to 200A, installation of a SPAN smart panel, and a Level 2 EV charger.",2022.0
16634,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2022-12-14T22:54:30Z,2022-12-07 17:19:27.330000+00:00,2023-09-25T14:00:46Z,2023-03-28T04:00:00Z,2224,Prairie,,48105,"Installation of a roof-mounted solar array consisting of (21) solar panels with micro-inverters, a service upgrade form 100A to 200A, installation of a SPAN smart panel, and a Level 2 EV charger.",2022.0
17063,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:38:02Z,2022-12-15 19:00:26.610000+00:00,2023-07-18T13:47:11Z,2023-01-20T05:00:00Z,1050,Olivia,,48104,5.04 kW Roof Mounted 14 Panel Solar Array,2022.0
17065,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:38:18Z,2022-12-15 19:18:10.640000+00:00,2023-10-17T15:04:17Z,2023-04-21T04:00:00Z,1165,Wendy,,48103,5.04 kW Roof Mounted 14 Panel Solar Array with Battery Backup,2022.0
17067,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:38:27Z,2022-12-15 19:28:41.560000+00:00,2023-07-24T13:31:33Z,2023-01-26T05:00:00Z,1506,Granger,,48104,6.84kW Roof Mounted 19 Panel Solar Array,2022.0
17438,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-11T16:37:51Z,2022-12-27 19:43:49.110000+00:00,2024-02-06T15:11:28Z,2023-08-11T04:00:00Z,2008,Day,,48104,Installation of a roof-mounted solar array consisting of (32) solar panels with micro-inverters and (2) Tesla Powerwall batteries.,2022.0
17661,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02 20:42:23.393000+00:00,,,2765,Nixon,,48105,"*permit cancelled by contractor over email* 31 panel solar array, roof mounted on residence, grid tied",2023.0
17664,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02 21:12:54.637000+00:00,,,2227,Medford,,48104,"*permit cancelled by contractor over email* Install 17 panel solar array on residence roof, grid tied",2023.0
17665,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02 21:40:08.130000+00:00,,,1310,Iroquois,,48104,"*permit cancelled by contractor over email* Install 28 panel solar array on residence roof, grid tied",2023.0
17666,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02 22:17:59.333000+00:00,,,414,Madison,,48103,"*permit cancelled by contractor over email* Install 28 panel solar array on r3esidence roof, grid tied",2023.0
17667,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02 22:48:58.467000+00:00,,,2861,Provincial,,48104,"*permit cancelled by contractor over email* Install 23 panel solar array on residence roof, grid tied",2023.0
17668,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Void,,2023-01-02 23:14:55.163000+00:00,,,1121,Clair,,48103,"*permit cancelled by contractor over email* Install12 panel solar array on residence roof, Grid Tied",2023.0
17987,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:04:08Z,2023-01-11 18:28:50.657000+00:00,2023-10-16T14:05:54Z,2023-04-19T04:00:00Z,2091,Ascot,,48103,4kW Ballast / Pitched Roof Mounted Solar Array,2023.0
17988,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2023-01-20T20:00:42Z,2023-01-11 18:57:14.153000+00:00,2023-07-19T19:00:24Z,2023-07-19T04:00:00Z,3455,Ridgeline,,48105,Krans 5.6 kW Roof Mounted Solar Array,2023.0
17989,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2023-02-24T13:09:27Z,2023-01-11 20:35:07.037000+00:00,2024-04-09T00:05:51Z,2024-04-08T04:00:00Z,2602,Salisbury,,48103,Elder 5.6 kW Roof Mounted Solar Array,2023.0
18295,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:04:08Z,2023-01-11 18:28:50.657000+00:00,2023-10-16T14:05:54Z,2023-04-19T04:00:00Z,2091,Ascot,,48103,4kW Ballast / Pitched Roof Mounted Solar Array,2023.0
18296,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2023-01-20T20:00:42Z,2023-01-11 18:57:14.153000+00:00,2023-07-19T19:00:24Z,2023-07-19T04:00:00Z,3455,Ridgeline,,48105,Krans 5.6 kW Roof Mounted Solar Array,2023.0
18297,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2023-02-24T13:09:27Z,2023-01-11 20:35:07.037000+00:00,2024-04-09T00:05:51Z,2024-04-08T04:00:00Z,2602,Salisbury,,48103,Elder 5.6 kW Roof Mounted Solar Array,2023.0
18328,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-02-15T18:56:35Z,2023-01-13 21:14:59.130000+00:00,2023-09-20T14:46:47Z,2023-03-25T04:00:00Z,218,Crest,,48103,Sand 4kW Roof Mounted Solar Array,2023.0
18329,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-26T23:19:17Z,2023-01-13 22:15:13.350000+00:00,2023-11-06T20:52:41Z,2023-05-11T04:00:00Z,2008,Stadium,,48104,Bennett 8.8 kW Roof Mounted Solar Array,2023.0
18331,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:51:21Z,2023-01-13 23:44:38.463000+00:00,2024-02-05T16:36:34Z,2023-10-03T04:00:00Z,1100,Clague,,48103,Rybicki 6 kW Roof Mounted Solar Array,2023.0
18342,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-26T23:18:21Z,2023-01-17 14:13:06.157000+00:00,2023-08-14T15:27:14Z,2023-03-08T05:00:00Z,2020,Winewood,,48103,Roof Mount Solar,2023.0
18346,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Expired,2023-10-14T19:40:29Z,2023-01-17 18:28:58.030000+00:00,2024-04-11T19:40:25Z,2024-04-11T04:00:00Z,2600,Emerald,,48104,Simmons-10.4 kW Roof Mounted Solar Array,2023.0
18717,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-26T23:18:09Z,2023-01-20 17:21:48.240000+00:00,2024-05-06T16:20:45Z,2023-07-25T04:00:00Z,817,Edgewood,,48103,Howard - 4.4 kW Roof Mounted Solar Array,2023.0
18718,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-01-26T21:58:36Z,2023-01-20 20:40:28.393000+00:00,2024-02-26T15:25:42Z,2023-08-30T04:00:00Z,1409,Pomona,,48103,Durham - 4kW Roof Mounted Solar Array,2023.0
19157,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Expired,2023-02-15T14:32:40Z,2023-01-26 16:32:27.223000+00:00,2023-08-14T13:30:37Z,2023-08-14T04:00:00Z,2073,Garden,,48103,Installing solar panels on roof of house,2023.0
19239,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-03-03T13:12:32Z,2023-02-01 21:38:18.157000+00:00,2024-01-08T14:55:58Z,2023-06-30T04:00:00Z,2751,Packard,,48108,186.76 kW roof mount array,2023.0
19240,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-02-09T22:31:20Z,2023-02-01 22:03:42.143000+00:00,2023-09-25T13:19:37Z,2023-03-25T04:00:00Z,2120,Traver,,48105,11.4 kW roof mount array,2023.0
19241,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-03-03T13:13:07Z,2023-02-01 23:35:01.590000+00:00,2023-11-06T17:08:29Z,2023-05-05T04:00:00Z,1500,Scio Church,,48103,44 kW roof mount array,2023.0
19527,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-02-06T17:59:08Z,2023-02-02 21:17:00.263000+00:00,2023-09-25T13:19:37Z,2023-03-28T04:00:00Z,2120,Traver,,48105,11.04 kW roof mount array,2023.0
19528,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Expired,2023-02-14T18:41:00Z,2023-02-02 21:26:46.760000+00:00,2024-01-08T14:44:31Z,2024-01-08T05:00:00Z,2751,Packard,,48108,186.76 kW roof mount array,2023.0
19636,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-03-03T13:12:32Z,2023-02-01 21:38:18.157000+00:00,2024-01-08T14:55:58Z,2023-06-30T04:00:00Z,2751,Packard,,48108,186.76 kW roof mount array,2023.0
19637,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-02-09T22:31:20Z,2023-02-01 22:03:42.143000+00:00,2023-09-25T13:19:37Z,2023-03-25T04:00:00Z,2120,Traver,,48105,11.4 kW roof mount array,2023.0
19638,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-03-03T13:13:07Z,2023-02-01 23:35:01.590000+00:00,2023-11-06T17:08:29Z,2023-05-05T04:00:00Z,1500,Scio Church,,48103,44 kW roof mount array,2023.0
19986,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-02-21T19:22:32Z,2023-02-10 20:08:04.560000+00:00,2023-11-06T17:08:29Z,2023-05-09T04:00:00Z,1500,Scio Church,,48103,44 kW Roof Mount Array,2023.0
19987,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Issued,2023-05-18T00:32:03Z,2023-02-10 20:50:18.293000+00:00,2024-06-03T15:01:42Z,2023-11-13T05:00:00Z,2781,Packard,,48108,48.3 kW Roof Mount Array,2023.0
20052,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-06-13T14:58:29Z,2023-02-10 21:05:05.173000+00:00,2024-06-03T15:01:42Z,2023-12-04T05:00:00Z,2781,Packard,,48108,48.3 kW Roof Mount Array,2023.0
20121,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:51:30Z,2023-02-14 16:20:40.460000+00:00,2023-10-23T18:50:10Z,2023-04-28T04:00:00Z,1015,Duncan,,48103,10.26 kW Roof Mount Array,2023.0
20126,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:51:44Z,2023-02-14 18:32:29.187000+00:00,2023-10-16T14:03:19Z,2023-04-18T04:00:00Z,2011,Brampton,,48103,5.6 kW Roof Mount Array,2023.0
20128,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:52:16Z,2023-02-14 21:54:37.023000+00:00,2023-09-19T14:36:46Z,2023-03-24T04:00:00Z,1121,Kay,,48103,Install 24 panel solar array on roof of residence,2023.0
20129,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:52:28Z,2023-02-14 22:10:41.200000+00:00,2023-09-19T14:26:53Z,2023-03-24T04:00:00Z,2227,Medford,,48104,"Install 17 panel solar array on residence roof top, grid tied",2023.0
20131,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:52:42Z,2023-02-14 23:06:18.270000+00:00,2023-11-08T15:27:18Z,2023-05-13T04:00:00Z,2765,Nixon,,48105,"Install 31 panel solar array on residence roof top, grid tied",2023.0
20141,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:52:53Z,2023-02-15 18:36:34.193000+00:00,2024-02-05T17:03:35Z,2023-08-09T04:00:00Z,1156,Kay,,48103,Saigal- 4 kW Roof Mounted Solar Array,2023.0
20142,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:04:18Z,2023-02-15 21:40:27.573000+00:00,2023-10-23T18:46:31Z,2023-04-25T04:00:00Z,2241,Independence,,48104,5.2 kW Roof Mount Array,2023.0
20336,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Final,2023-03-10T14:20:00Z,2023-02-16 00:29:43.580000+00:00,2023-12-18T15:07:30Z,2023-06-21T04:00:00Z,3465,Huron River,,48104,24.3 kW Ground Mount Array,2023.0
20337,Building (Commercial) - Solar - Ground/Roof,Solar - Ground/Roof,Expired,2023-07-12T09:07:24Z,2023-02-16 00:48:48.273000+00:00,2024-05-13T16:30:19Z,2024-05-13T04:00:00Z,2120,Traver,,48105,32.86 kW Ground Mount Array,2023.0
20553,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-03-14T20:08:42Z,2023-02-16 01:00:10.493000+00:00,2024-05-13T16:30:19Z,2023-11-03T04:00:00Z,2120,Traver,,48105,32.86 kW Ground Mount Array,2023.0
20554,Electrical (Commercial) - Solar - Ground/Roof,Solar [Ground/Roof],Final,2023-03-14T20:09:15Z,2023-02-16 01:07:30.013000+00:00,2023-12-18T15:07:30Z,2023-06-20T04:00:00Z,3465,Huron River,,48104,24.3 kW Ground Mount Array,2023.0
20578,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-03T18:52:53Z,2023-02-15 18:36:34.193000+00:00,2024-02-05T17:03:35Z,2023-08-09T04:00:00Z,1156,Kay,,48103,Saigal- 4 kW Roof Mounted Solar Array,2023.0
20579,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:04:18Z,2023-02-15 21:40:27.573000+00:00,2023-10-23T18:46:31Z,2023-04-25T04:00:00Z,2241,Independence,,48104,5.2 kW Roof Mount Array,2023.0
21063,Electrical (Residential) - Solar - Ground,Solar [Ground/Roof],Withdrawn,,2023-02-23 21:37:35.583000+00:00,,,3428,Ashburnam,,48105,"5.53 kW PV Solar Panel Installation on Roof **VOID AS DUPLICATE, CANCELLED BY CONTRACTO- SEE EMAIL***",2023.0
21078,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:05:17Z,2023-02-27 15:12:37.493000+00:00,2023-11-06T17:12:02Z,2023-05-11T04:00:00Z,1121,Clair,,48103,"Installation of 12 panel solar array on residence roof, grid tied",2023.0
21122,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:06:24Z,2023-02-27 21:00:16.473000+00:00,2023-11-15T15:06:23Z,2023-05-20T04:00:00Z,2861,Provincial,,48104,"Install 23 panel array on residence roof top, grid tied",2023.0
21130,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-14T20:06:46Z,2023-02-27 21:15:27.533000+00:00,2023-11-07T14:17:55Z,2023-05-12T04:00:00Z,1310,Iroquois,,48104,"Install 28 panel solar array on residence roof top, grid tied",2023.0
22212,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-23T20:53:34Z,2023-03-15 16:05:17.587000+00:00,2023-11-29T20:17:37Z,2023-06-03T04:00:00Z,1115,Baldwin,,48104,"8.03 kW Roof Mounted, 22 Panel Solar Array.",2023.0
22783,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-23T20:53:34Z,2023-03-15 16:05:17.587000+00:00,2023-11-29T20:17:37Z,2023-06-03T04:00:00Z,1115,Baldwin,,48104,"8.03 kW Roof Mounted, 22 Panel Solar Array.",2023.0
22814,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-27T14:01:33Z,2023-03-20 14:55:37.067000+00:00,2024-02-05T16:59:17Z,2023-08-11T19:07:27Z,3630,Terhune,,48104,Installing 33 roof mounted solar panels.,2023.0
22815,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-23T20:27:40Z,2023-03-20 14:59:34.093000+00:00,2023-10-16T14:48:07Z,2023-04-18T04:00:00Z,1045,Hasper,,48103,Installation of a roof-mounted solar array consisting of (15) solar panels with micro-inverters and a surge arrester.,2023.0
22843,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-27T14:01:45Z,2023-03-22 19:29:36.883000+00:00,2023-11-08T20:12:01Z,2023-05-15T04:00:00Z,1449,Morehead,,48103,"Install 22 panel solar array on residence roof top, grid tied",2023.0
22844,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-27T14:01:58Z,2023-03-22 19:43:12.123000+00:00,2023-11-08T00:33:55Z,2023-05-12T04:00:00Z,1365,Folkstone,,48105,"Install 18 panel solar array on residence roof top, grid tied",2023.0
23217,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-27T14:01:45Z,2023-03-22 19:29:36.883000+00:00,2023-11-08T20:12:01Z,2023-05-15T04:00:00Z,1449,Morehead,,48103,"Install 22 panel solar array on residence roof top, grid tied",2023.0
23218,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-27T14:01:58Z,2023-03-22 19:43:12.123000+00:00,2023-11-08T00:33:55Z,2023-05-12T04:00:00Z,1365,Folkstone,,48105,"Install 18 panel solar array on residence roof top, grid tied",2023.0
23225,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T18:23:22Z,2023-03-23 20:40:06.270000+00:00,2024-02-26T18:13:44Z,2023-08-30T04:00:00Z,548,Main,,48104,"Install 18 panel solar array on residence roof top, grid tied",2023.0
23226,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T18:23:39Z,2023-03-23 21:16:23.170000+00:00,2024-03-18T13:14:12Z,2023-09-19T04:00:00Z,542,Main,,48104,"Install 18 panel solar array on residence roof top with battery storage, grid tied",2023.0
23227,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T18:23:55Z,2023-03-23 21:48:59.030000+00:00,2024-02-26T16:38:16Z,2023-08-30T13:11:42Z,544,Main,,48104,"Install 18 panel solar array on residence roof top with battery storage, grid tied",2023.0
23255,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T18:24:12Z,2023-03-27 19:54:03.213000+00:00,2023-10-24T13:41:21Z,2023-04-28T04:00:00Z,448,Second,,48103,8.76 kW Roof Mount System,2023.0
23256,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T18:33:33Z,2023-03-27 20:27:28.073000+00:00,2023-11-20T16:01:56Z,2023-05-24T04:00:00Z,3810,Tremont,,48105,7.38 kW Roof Mount System,2023.0
23257,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T19:17:35Z,2023-03-27 21:11:14.533000+00:00,2023-11-29T15:47:23Z,2023-06-03T04:00:00Z,1437,Ardmoor,,48103,8.2 kW Roof Mount System,2023.0
23293,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T19:17:01Z,2023-03-29 18:38:08.640000+00:00,2024-01-03T15:50:18Z,2023-07-04T04:00:00Z,920,Lincoln,,48104,12.19 kW Array,2023.0
23329,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T19:16:49Z,2023-03-29 20:41:15.593000+00:00,2023-12-11T15:32:27Z,2023-06-15T04:00:00Z,2719,Manchester,,48104,5.74 kW Array,2023.0
23664,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Withdrawn,,2023-03-30 20:36:28.133000+00:00,,,1304,Horman,,48104,"installation of 21 panel roof mounted solar array with battery backup *PERMIT PULLED BY MISTAKE, WITHDRAWN BY CONTRACTOR SEE EMAIL*",2023.0
23695,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void,,2023-04-04 21:24:47.200000+00:00,,,3428,Ashburnam,,48105,**VOIDED.  NOT REQUIRED.  QUALIFIES FOR EXPEDITED SOLAR PERMIT**  5.53 kW PV Solar Panel Installation on Roof,2023.0
23696,Building (Residential) - Solar - Ground,Solar - Ground/Roof,Void,,2023-04-04 22:14:50.650000+00:00,,,3298,Turnberry,,48108,**VOIDED.  NOT REQUIRED.  QUALIFIES FOR EXPEDITED SOLAR.**  4.74 kW PV Solar Panel Installation on Roof,2023.0
23766,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T19:17:01Z,2023-03-29 18:38:08.640000+00:00,2024-01-03T15:50:18Z,2023-07-04T04:00:00Z,920,Lincoln,,48104,12.19 kW Array,2023.0
23802,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-03-30T19:16:49Z,2023-03-29 20:41:15.593000+00:00,2023-12-11T15:32:27Z,2023-06-15T04:00:00Z,2719,Manchester,,48104,5.74 kW Array,2023.0
23869,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-20T16:11:13Z,2023-03-30 20:52:17.347000+00:00,2023-11-27T18:24:49Z,2023-05-31T04:00:00Z,1304,Horman,,48104,21 panel roof mounted solar array with battery backup,2023.0
23876,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-20T16:11:49Z,2023-03-31 14:12:09.670000+00:00,2023-10-30T13:55:46Z,2023-05-03T04:00:00Z,1807,Avondale,,48103,installation of 15 panel roof mounted solar array with battery backup,2023.0
23908,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-20T16:12:40Z,2023-04-04 20:40:43.510000+00:00,2023-11-29T16:30:02Z,2023-06-03T04:00:00Z,515,Summit,,48103,18 panel roof mounted solar array with battery backup.,2023.0
23913,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:04:46Z,2023-04-05 14:01:54.520000+00:00,2023-12-04T15:26:34Z,2023-06-15T04:00:00Z,2960,Lakeview,,48103,"installation of 19 panel solar array, part on the roof, part on ground racking, with backup battery.",2023.0
23914,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-18T15:16:30Z,2023-04-05 15:01:30.587000+00:00,2023-11-20T14:27:19Z,2023-05-24T04:00:00Z,525,Second,,48103,5.74 kW Array,2023.0
24256,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-10T11:04:46Z,2023-04-05 14:01:54.520000+00:00,2023-12-04T15:26:34Z,2023-06-15T04:00:00Z,2960,Lakeview,,48103,"installation of 19 panel solar array, part on the roof, part on ground racking, with backup battery.",2023.0
24257,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-18T15:16:30Z,2023-04-05 15:01:30.587000+00:00,2023-11-20T14:27:19Z,2023-05-24T04:00:00Z,525,Second,,48103,5.74 kW Array,2023.0
24278,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-20T16:12:52Z,2023-04-07 12:43:07.467000+00:00,2023-12-27T14:55:31Z,2023-06-29T04:00:00Z,2103,Copley,,48104,7.22 kW Roof Mounted 19 Panel Solar Array with Battery Storage,2023.0
24299,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-18T15:06:27Z,2023-04-10 19:58:04.007000+00:00,2023-10-30T17:39:57Z,2023-07-04T04:00:00Z,3428,Ashburnam,,48105,5.53 kW PV Solar Panel Installation on Roof,2023.0
24300,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-18T18:36:39Z,2023-04-10 20:07:24.320000+00:00,2023-10-30T13:26:58Z,2023-05-04T04:00:00Z,3298,Turnberry,,48108,4.74 kW PV Solar Panel Installation on Roof,2023.0
24734,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-04-20T16:13:14Z,2023-04-13 20:47:22.560000+00:00,2024-01-22T19:51:40Z,2023-07-25T04:00:00Z,1391,Esch,,48104,Installation of a roof-mounted solar array consisting of (14) solar panels with micro-inverters and (2) Tesla Powerwall batteries.,2023.0
24736,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Final,2023-05-03T21:55:11Z,2023-04-14 11:39:49.047000+00:00,2023-11-14T15:32:35Z,2023-05-19T04:00:00Z,1008,Washington,,48103,installation of 28 panel roof mounted solar array with battery backup,2023.0
24739,Electrical (Residential) - Solar Panel - Roof Mounted [Expedited],Solar Panel [Roof-Mounted] Expedited,Withdrawn,,2023-04-14 14:37:27.393000+00:00,,,515,Summit,,48103,installation of 18 panel solar array with ev charger and battery backup.,2023.0
